DOI
10.11369/JJI1950.46.121
10.11369/JJI1950.53.55
10.11926/J.ISSN.1005-3395.2015.02.010
10.11926/J.ISSN.1005-3395.2015.04.009
10.11926/J.ISSN.1005-3395.2016.02.002
10.11926/J.ISSN.1005-3395.2016.04.015
10.11926/J.ISSN.1005-3395.2016.05.006
10.11926/J.ISSN.1005-3395.2016.06.003
10.11931/GUIHAIA.GXZW201611031
10.12651/JSR.2020.9.3.233
10.12905/0380.PHYTON56(2)2016-0181
10.13128/ACTA_HERPETOL-12667
10.13128/ACTA_HERPETOL-14968
10.13128/ACTA_HERPETOL-18075
10.13128/ACTA_HERPETOL-18261
10.13128/ACTA_HERPETOL-20887
10.13128/ACTA_HERPETOL-9500
10.13133/2284-4880/381
10.13209/J.0479-8023.1995.063
10.13287/J.1001-9332.201604.026
10.13287/J.1001-9332.201612.006
10.13287/J.1001-9332.201802.007
10.13287/J.1001-9332.201810.006
10.13287/J.1001-9332.201812.002
10.13287/J.1001-9332.201908.010
10.13287/J.1001-9332.201910.004
10.13287/J.1001-9332.202001.029
10.13287/J.1001-9332.202004.003
10.13287/J.1001-9332.202007.010
10.13287/J.1001-9332.202007.020
10.13448/J.CNKI.JALRE.2012.11.029
10.13448/J.CNKI.JALRE.2017.232
10.13448/J.CNKI.JALRE.2019.211
10.13448/J.CNKI.JALRE.2020.257
10.13859/J.CJZ.2002.02.008
10.13859/J.CJZ.2010.05.024
10.13859/J.CJZ.2012.04.009
10.13859/J.CJZ.2012.05.016
10.13859/J.CJZ.2013.02.021
10.13859/J.CJZ.2013.03.010
10.13859/J.CJZ.201902019
10.13859/J.CJZ.202105004
10.14288/1.0394715
10.15914/J.CNKI.WYKX.2015.31.16
10.16373/J.CNKI.AHR.150045
10.16380/J.KCXB.1974.04.012
10.16380/J.KCXB.2004.03.021
10.16380/J.KCXB.2006.06.023
10.16380/J.KCXB.2006.06.024
10.16380/J.KCXB.2007.05.013
10.16380/J.KCXB.2008.04.003
10.16380/J.KCXB.2010.02.011
10.16380/J.KCXB.2010.06.008
10.16380/J.KCXB.2012.02.009
10.16380/J.KCXB.2012.12.008
10.16380/J.KCXB.2012.12.010
10.16380/J.KCXB.2013.03.013
10.16380/J.KCXB.2013.09.008
10.16380/J.KCXB.2014.09.004
10.16380/J.KCXB.2015.04.014
10.16380/J.KCXB.2015.07.014
10.16380/J.KCXB.2016.07.007
10.16380/J.KCXB.2017.01.009
10.16380/J.KCXB.2020.03.010
10.16380/J.KCXB.2021.10.009
10.16380/J.KCXB.2022.10.012
10.16418/J.ISSN.1000-3045.2002.01.007
10.16418/J.ISSN.1000-3045.2002.05.004
10.16418/J.ISSN.1000-3045.2003.06.003
10.16418/J.ISSN.1000-3045.2008.04.006
10.16418/J.ISSN.1000-3045.2016.04.003
10.16418/J.ISSN.1000-3045.2016.10.010
10.16418/J.ISSN.1000-3045.2017.08.005
